v,imgt,species,
TCRAV18-01,TRAV18*01,human,
TCRAV19-01,TRAV19*01,human,
TCRAV02-01,TRAV2*01,human,
TCRAV20-01,TRAV20*01,human,
TCRAV21-01,TRAV21*01,human,
TCRAV22-01,TRAV22*01,human,
TCRAV24-01,TRAV24*01,human,
TCRAV25-01,TRAV25*01,human,
TCRAV27-01,TRAV27*01,human,
TCRAV03-01,TRAV3*01,human,
TCRAV30-01,TRAV30*01,human,
TCRAV34-01,TRAV34*01,human,
TCRAV35-01,TRAV35*01,human,
TCRAV39-01,TRAV39*01,human,
TCRAV04-01,TRAV4*01,human,
TCRAV40-01,TRAV40*01,human,
TCRAV41-01,TRAV41*01,human,
TCRAV05-01,TRAV5*01,human,
TCRAV06-01,TRAV6*01,human,
TCRAV07-01,TRAV7*01,human,
TCRBD01-01,TRBD1*01,human,
TCRBD02-01,TRBD2*01,human,
TCRBV01-01,TRBV1*01,human,
TCRBV13-01,TRBV13*01,human,
TCRBV14-01,TRBV14*01,human,
TCRBV15-01,TRBV15*01,human,
TCRBV16-01,TRBV16*01,human,
TCRBV17-01,TRBV17*01,human,
TCRBV18-01,TRBV18*01,human,
TCRBV19-01,TRBV19*01,human,
TCRBV02-01,TRBV2*01,human,
TCRBV26-01,TRBV26*01,human,
TCRBV27-01,TRBV27*01,human,
TCRBV28-01,TRBV28*01,human,
TCRBV30-01,TRBV30*01,human,
TCRBV09-01,TRBV9*01,human,
TCRDD01-01,TRDD1*01,human,
TCRDD02-01,TRDD2*01,human,
TCRDD03-01,TRDD3*01,human,
TCRDJ01-01,TRDJ1*01,human,
TCRDJ02-01,TRDJ2*01,human,
TCRDJ03-01,TRDJ3*01,human,
TCRDJ04-01,TRDJ4*01,human,
TCRDV01-01,TRDV1*01,human,
TCRDV02-01,TRDV2*01,human,
TCRDV03-01,TRDV3*01,human,
TCRGJ01-01,TRGJ1*01,human,
TCRGJ02-01,TRGJ2*01,human,
TCRGV01-01,TRGV1*01,human,
TCRGV10-01,TRGV10*01,human,
TCRGV11-01,TRGV11*01,human,
TCRGV02-01,TRGV2*01,human,
TCRGV03-01,TRGV3*01,human,
TCRGV04-01,TRGV4*01,human,
TCRGV05-01,TRGV5*01,human,
TCRGV08-01,TRGV8*01,human,
TCRGV09-01,TRGV9*01,human,
TCRAV14-01,TRAV14/DV4*01,human,
TCRAV23-01,TRAV23/DV6*01,human,
TCRAV33-01,NA,human,
TCRAV29-01,TRAV29/DV5*01,human,
TCRAV37-01,NA,human,
TCRAV38-02,TRAV38-2/DV8*01,human,
TCRAV31-01,NA,human,
TCRAV28-01,NA,human,
TCRAV36-01,TRAV36/DV7*01,human,
TCRGV07-01,NA,human,
TCRGV05P-01,TRGV5P*01,human,
TCRGVB-01,NA,human,
TCRGV06-01,NA,human,
TCRAV08-05,NA,human,
TCRAV15-01,NA,human,
TCRAV32-01,NA,human,
TCRGJP1-01,TRGJP1*01,human,
TCRGJP2-01,TRGJP2*01,human,
TCRGJP-01,TRGJP*01,human,
TCRAJ11,TRAJ11*01,mouse,
TCRAJ12,TRAJ12*01,mouse,
TCRAJ13,TRAJ13*01,mouse,
TCRAJ15,TRAJ15*01,mouse,
TCRAJ16,TRAJ16*01,mouse,
TCRAJ17,TRAJ17*01,mouse,
TCRAJ18,TRAJ18*01,mouse,
TCRAJ19,TRAJ19*01,mouse,
TCRAJ02,TRAJ2*01,mouse,
TCRAJ20,TRAJ20*01,mouse,
TCRAJ21,TRAJ21*01,mouse,
TCRAJ22,TRAJ22*01,mouse,
TCRAJ23,TRAJ23*01,mouse,
TCRAJ24,TRAJ24*01,mouse,
TCRAJ25,TRAJ25*01,mouse,
TCRAJ26,TRAJ26*01,mouse,
TCRAJ27,TRAJ27*01,mouse,
TCRAJ28,TRAJ28*01,mouse,
TCRAJ29,TRAJ29*01,mouse,
TCRAJ03,TRAJ3*01,mouse,
TCRAJ30,TRAJ30*01,mouse,
TCRAJ31,TRAJ31*01,mouse,
TCRAJ32,TRAJ32*01,mouse,
TCRAJ33,TRAJ33*01,mouse,
TCRAJ34,TRAJ34*01,mouse,
TCRAJ35,TRAJ35*01,mouse,
TCRAJ36,TRAJ36*01,mouse,
TCRAJ37,TRAJ37*01,mouse,
TCRAJ38,TRAJ38*01,mouse,
TCRAJ39,TRAJ39*01,mouse,
TCRAJ04,TRAJ4*01,mouse,
TCRAJ40,TRAJ40*01,mouse,
TCRAJ41,TRAJ41*01,mouse,
TCRAJ42,TRAJ42*01,mouse,
TCRAJ43,TRAJ43*01,mouse,
TCRAJ44,TRAJ44*01,mouse,
TCRAJ45,TRAJ45*01,mouse,
TCRAJ46,TRAJ46*01,mouse,
TCRAJ47,TRAJ47*01,mouse,
TCRAJ48,TRAJ48*01,mouse,
TCRAJ49,TRAJ49*01,mouse,
TCRAJ05,TRAJ5*01,mouse,
TCRAJ50,TRAJ50*01,mouse,
TCRAJ52,TRAJ52*01,mouse,
TCRAJ53,TRAJ53*01,mouse,
TCRAJ54,TRAJ54*01,mouse,
TCRAJ56,TRAJ56*01,mouse,
TCRAJ57,TRAJ57*01,mouse,
TCRAJ58,TRAJ58*01,mouse,
TCRAJ59,TRAJ59*01,mouse,
TCRAJ06,TRAJ6*01,mouse,
TCRAJ60,TRAJ60*01,mouse,
TCRAJ61,TRAJ61*01,mouse,
TCRAJ07,TRAJ7*01,mouse,
TCRAJ09,TRAJ9*01,mouse,
TCRAV01,TRAV1*01,mouse,
TCRAV10,TRAV10*01,mouse,
TCRAV11,TRAV11*01,mouse,
TCRAV12-01,TRAV12-1*01,mouse,
TCRAV12-02,TRAV12-2*01,mouse,
TCRAV12-03,TRAV12-3*01,mouse,
TCRAV13-01,TRAV13-1*01,mouse,
TCRAV13-02,TRAV13-2*01,mouse,
TCRAV13-03,TRAV13-3*01,mouse,
TCRAV13-05,TRAV13-5*01,mouse,
TCRAV14-01,TRAV14-1*01,mouse,
TCRAV14-02,TRAV14-2*01,mouse,
TCRAV14-03,TRAV14-3*01,mouse,
TCRAV16,TRAV16*01,mouse,
TCRAV17,TRAV17*01,mouse,
TCRAV18,TRAV18*01,mouse,
TCRAV19,TRAV19*01,mouse,
TCRAV02,TRAV2*01,mouse,
TCRAV20,TRAV20*01,mouse,
TCRAV03-01,TRAV3-1*01,mouse,
TCRAV03-03,TRAV3-3*01,mouse,
TCRAV03-04,TRAV3-4*01,mouse,
TCRAV04-02,TRAV4-2*01,mouse,
TCRAV04-03,TRAV4-3*01,mouse,
TCRAV05-01,TRAV5-1*01,mouse,
TCRAV05-02,TRAV5-2*01,mouse,
TCRAV05-04,TRAV5-4*01,mouse,
TCRAV06-01,TRAV6-1*01,mouse,
TCRAV06-02,TRAV6-2*01,mouse,
TCRAV06-03,TRAV6-3*01,mouse,
TCRAV06-04,TRAV6-4*01,mouse,
TCRAV06-05,TRAV6-5*01,mouse,
TCRAV06-06,TRAV6-6*01,mouse,
TCRAV07-01,TRAV7-1*01,mouse,
TCRAV07-02,TRAV7-2*01,mouse,
TCRAV07-03,TRAV7-3*01,mouse,
TCRAV07-04,TRAV7-4*01,mouse,
TCRAV07-05,TRAV7-5*01,mouse,
TCRAV07-06,TRAV7-6*01,mouse,
TCRAV08-01,TRAV8-1*01,mouse,
TCRAV08-02,TRAV8-2*01,mouse,
TCRAV09-01,TRAV9-1*01,mouse,
TCRAV09-02,TRAV9-2*01,mouse,
TCRAV09-03,TRAV9-3*01,mouse,
TCRAV09-04,TRAV9-4*01,mouse,
TCRBD01,TRBD1*01,mouse,
TCRBD02,TRBD2*01,mouse,
TCRBJ01-01,TRBJ1-1*01,mouse,
TCRBJ01-02,TRBJ1-2*01,mouse,
TCRBJ01-03,TRBJ1-3*01,mouse,
TCRBJ01-04,TRBJ1-4*01,mouse,
TCRBJ01-05,TRBJ1-5*01,mouse,
TCRBJ01-06,TRBJ1-6*01,mouse,
TCRBJ01-07,TRBJ1-7*01,mouse,
TCRBJ02-01,TRBJ2-1*01,mouse,
TCRBJ02-02,TRBJ2-2*01,mouse,
TCRBJ02-03,TRBJ2-3*01,mouse,
TCRBJ02-04,TRBJ2-4*01,mouse,
TCRBJ02-05,TRBJ2-5*01,mouse,
TCRBJ02-06,TRBJ2-6*01,mouse,
TCRBJ02-07,TRBJ2-7*01,mouse,
TCRBV01,TRBV1*01,mouse,
TCRBV10,TRBV10*01,mouse,
TCRBV12-01,TRBV12-1*01,mouse,
TCRBV12-02,TRBV12-2*01,mouse,
TCRBV13-01,TRBV13-1*01,mouse,
TCRBV13-02,TRBV13-2*01,mouse,
TCRBV13-03,TRBV13-3*01,mouse,
TCRBV14,TRBV14*01,mouse,
TCRBV15,TRBV15*01,mouse,
TCRBV16,TRBV16*01,mouse,
TCRBV17,TRBV17*01,mouse,
TCRBV19,TRBV19*01,mouse,
TCRBV02,TRBV2*01,mouse,
TCRBV20,TRBV20*01,mouse,
TCRBV21,TRBV21*01,mouse,
TCRBV23,TRBV23*01,mouse,
TCRBV24,TRBV24*01,mouse,
TCRBV26,TRBV26*01,mouse,
TCRBV29,TRBV29*01,mouse,
TCRBV03,TRBV3*01,mouse,
TCRBV30,TRBV30*01,mouse,
TCRBV31,TRBV31*01,mouse,
TCRBV04,TRBV4*01,mouse,
TCRBV05,TRBV5*01,mouse,
TCRBV08,TRBV8*01,mouse,
TRBV8,TRBV8*01,mouse,
TRBV8-1,TRBV8*01,mouse,
TCRBV09,TRBV9*01,mouse,
TCRDD01,TRDD1*01,mouse,
TCRDD02,TRDD2*01,mouse,
TCRDJ01,TRDJ1*01,mouse,
TCRDJ02,TRDJ2*01,mouse,
TCRDV01,TRDV1*01,mouse,
TCRDV02-01,TRDV2-1*01,mouse,
TCRDV02-02,TRDV2-2*01,mouse,
TCRDV04,TRDV4*01,mouse,
TCRDV05,TRDV5*01,mouse,
TCRGJ01,TRGJ1*01,mouse,
TCRGJ02,TRGJ2*01,mouse,
TCRGJ03,TRGJ3*01,mouse,
TCRGJ04,TRGJ4*01,mouse,
TCRGV01,TRGV1*01,mouse,
TCRGV02,TRGV2*01,mouse,
TCRGV03,TRGV3*01,mouse,
TCRGV04,TRGV4*01,mouse,
TCRGV05,TRGV5*01,mouse,
TCRGV06,TRGV6*01,mouse,
TCRGV07,TRGV7*01,mouse,
TCRAV12-X,TRAV12-1*01,mouse,
TCRAV13-X,TRAV13-1*01,mouse,
TCRAV14-X,TRAV14-1*01,mouse,
TCRAV03-X,TRAV3-1*01,mouse,
TCRAV05-X,TRAV5-1*01,mouse,
TCRAV06-X,TRAV6-1*01,mouse,
TCRAV07-X,TRAV7-1*01,mouse,
TCRAV08-X,TRAV8-1*01,mouse,
TCRAV09-X,TRAV9-1*01,mouse,
TCRBJ01-X,TRBJ1-1*01,mouse,
TCRBJ02-X,TRBJ2-1*01,mouse,
TCRBV12-X,TRBV12-1*01,mouse,
TCRBV13-X,TRBV13-1*01,mouse,
TCRDV02-X,TRDV2-1*01,mouse,
TCRAJ11-01,TRAJ11*01,mouse,
TCRAJ12-01,TRAJ12*01,mouse,
TCRAJ13-01,TRAJ13*01,mouse,
TCRAJ15-01,TRAJ15*01,mouse,
TCRAJ16-01,TRAJ16*01,mouse,
TCRAJ17-01,TRAJ17*01,mouse,
TCRAJ18-01,TRAJ18*01,mouse,
TCRAJ19-01,TRAJ19*01,mouse,
TCRAJ02-01,TRAJ2*01,mouse,
TCRAJ20-01,TRAJ20*01,mouse,
TCRAJ21-01,TRAJ21*01,mouse,
TCRAJ22-01,TRAJ22*01,mouse,
TCRAJ23-01,TRAJ23*01,mouse,
TCRAJ24-01,TRAJ24*01,mouse,
TCRAJ25-01,TRAJ25*01,mouse,
TCRAJ26-01,TRAJ26*01,mouse,
TCRAJ27-01,TRAJ27*01,mouse,
TCRAJ28-01,TRAJ28*01,mouse,
TCRAJ29-01,TRAJ29*01,mouse,
TCRAJ03-01,TRAJ3*01,mouse,
TCRAJ30-01,TRAJ30*01,mouse,
TCRAJ31-01,TRAJ31*01,mouse,
TCRAJ32-01,TRAJ32*01,mouse,
TCRAJ33-01,TRAJ33*01,mouse,
TCRAJ34-01,TRAJ34*01,mouse,
TCRAJ35-01,TRAJ35*01,mouse,
TCRAJ36-01,TRAJ36*01,mouse,
TCRAJ37-01,TRAJ37*01,mouse,
TCRAJ38-01,TRAJ38*01,mouse,
TCRAJ39-01,TRAJ39*01,mouse,
TCRAJ04-01,TRAJ4*01,mouse,
TCRAJ40-01,TRAJ40*01,mouse,
TCRAJ41-01,TRAJ41*01,mouse,
TCRAJ42-01,TRAJ42*01,mouse,
TCRAJ43-01,TRAJ43*01,mouse,
TCRAJ44-01,TRAJ44*01,mouse,
TCRAJ45-01,TRAJ45*01,mouse,
TCRAJ46-01,TRAJ46*01,mouse,
TCRAJ47-01,TRAJ47*01,mouse,
TCRAJ48-01,TRAJ48*01,mouse,
TCRAJ49-01,TRAJ49*01,mouse,
TCRAJ05-01,TRAJ5*01,mouse,
TCRAJ50-01,TRAJ50*01,mouse,
TCRAJ52-01,TRAJ52*01,mouse,
TCRAJ53-01,TRAJ53*01,mouse,
TCRAJ54-01,TRAJ54*01,mouse,
TCRAJ56-01,TRAJ56*01,mouse,
TCRAJ57-01,TRAJ57*01,mouse,
TCRAJ58-01,TRAJ58*01,mouse,
TCRAJ59-01,TRAJ59*01,mouse,
TCRAJ06-01,TRAJ6*01,mouse,
TCRAJ60-01,TRAJ60*01,mouse,
TCRAJ61-01,TRAJ61*01,mouse,
TCRAJ07-01,TRAJ7*01,mouse,
TCRAJ09-01,TRAJ9*01,mouse,
TCRAV01-01,TRAV1*01,mouse,
TCRAV10-01,TRAV10*01,mouse,
TCRAV11-01,TRAV11*01,mouse,
TCRAV16-01,TRAV16*01,mouse,
TCRAV17-01,TRAV17*01,mouse,
TCRAV18-01,TRAV18*01,mouse,
TCRAV19-01,TRAV19*01,mouse,
TCRAV02-01,TRAV2*01,mouse,
TCRAV20-01,TRAV20*01,mouse,
TCRBD01-01,TRBD1*01,mouse,
TCRBD02-01,TRBD2*01,mouse,
TCRBV01-01,TRBV1*01,mouse,
TCRBV10-01,TRBV10*01,mouse,
TCRBV14-01,TRBV14*01,mouse,
TCRBV15-01,TRBV15*01,mouse,
TCRBV16-01,TRBV16*01,mouse,
TCRBV17-01,TRBV17*01,mouse,
TCRBV19-01,TRBV19*01,mouse,
TCRBV02-01,TRBV2*01,mouse,
TCRBV20-01,TRBV20*01,mouse,
TCRBV21-01,TRBV21*01,mouse,
TCRBV23-01,TRBV23*01,mouse,
TCRBV24-01,TRBV24*01,mouse,
TCRBV26-01,TRBV26*01,mouse,
TCRBV29-01,TRBV29*01,mouse,
TCRBV03-01,TRBV3*01,mouse,
TCRBV30-01,TRBV30*01,mouse,
TCRBV31-01,TRBV31*01,mouse,
TCRBV04-01,TRBV4*01,mouse,
TCRBV05-01,TRBV5*01,mouse,
TCRBV08-01,TRBV8*01,mouse,
TCRBV09-01,TRBV9*01,mouse,
TCRDD01-01,TRDD1*01,mouse,
TCRDD02-01,TRDD2*01,mouse,
TCRDJ01-01,TRDJ1*01,mouse,
TCRDJ02-01,TRDJ2*01,mouse,
TCRDV01-01,TRDV1*01,mouse,
TCRDV04-01,TRDV4*01,mouse,
TCRDV05-01,TRDV5*01,mouse,
TCRGJ01-01,TRGJ1*01,mouse,
TCRGJ02-01,TRGJ2*01,mouse,
TCRGJ03-01,TRGJ3*01,mouse,
TCRGJ04-01,TRGJ4*01,mouse,
TCRGV01-01,TRGV1*01,mouse,
TCRGV02-01,TRGV2*01,mouse,
TCRGV03-01,TRGV3*01,mouse,
TCRGV04-01,TRGV4*01,mouse,
TCRGV05-01,TRGV5*01,mouse,
TCRGV06-01,TRGV6*01,mouse,
TCRGV07-01,TRGV7*01,mouse,
TCRAV01,TRAV1-1*01,human,
TCRAV12,TRAV12-1*01,human,
TCRAV13,TRAV13-1*01,human,
TCRAV26,TRAV26-1*01,human,
TCRAV38,TRAV38-1*01,human,
TCRAV08,TRAV8-1*01,human,
TCRAV09,TRAV9-1*01,human,
TCRBJ01,TRBJ1-1*01,human,
TCRBJ02,TRBJ2-1*01,human,
TCRBV10,TRBV10-1*01,human,
TCRBV11,TRBV11-1*01,human,
TCRBV12,TRBV12-1*01,human,
TCRBV20,TRBV20-1*01,human,
TCRBV21,TRBV21-1*01,human,
TCRBV23,TRBV23-1*01,human,
TCRBV24,TRBV24-1*01,human,
TCRBV25,TRBV25-1*01,human,
TCRBV29,TRBV29-1*01,human,
TCRBV03,TRBV3-1*01,human,
TCRBV04,TRBV4-1*01,human,
TCRBV05,TRBV5-1*01,human,
TCRBV06,TRBV6-1*01,human,
TCRBV07,TRBV7-1*01,human,
TCRAV12,TRAV12-1*01,mouse,
TCRAV13,TRAV13-1*01,mouse,
TCRAV14,TRAV14-1*01,mouse,
TCRAV03,TRAV3-1*01,mouse,
TCRAV05,TRAV5-1*01,mouse,
TCRAV06,TRAV6-1*01,mouse,
TCRAV07,TRAV7-1*01,mouse,
TCRAV08,TRAV8-1*01,mouse,
TCRAV09,TRAV9-1*01,mouse,
TCRBJ01,TRBJ1-1*01,mouse,
TCRBJ02,TRBJ2-1*01,mouse,
TCRBV12,TRBV12-1*01,mouse,
TCRBV13,TRBV13-1*01,mouse,
TCRDV02,TRDV2-1*01,mouse,
IGHV4-39,IGHV4-39*01,human,
IGHV3-49,IGHV3-49*01,human,
IGHV3-23,IGHV3-23*01,human,
IGHV1-18,IGHV1-18*01,human,
IGHV3-7,IGHV3-7*01,human,
IGHV3-15,IGHV3-15*01,human,
IGHV2-5,IGHV2-5*01,human,
IGHV3-66,IGHV3-66*01,human,
IGHV4-59,IGHV4-59*01,human,
IGHV3-11,IGHV3-11*01,human,
IGHV4-4,IGHV4-4*01,human,
IGHV3-53,IGHV3-53*01,human,
IGHV3-30,IGHV3-30*01,human,
IGHV3-33,IGHV3-33*01,human,
IGHV3-73,IGHV3-73*01,human,
IGHV4-31,IGHV4-31*01,human,
IGHV3-74,IGHV3-74*01,human,
IGHV3-21,IGHV3-21*01,human,
IGHV5-51,IGHV5-51*01,human,
IGHV3-64D,IGHV3-64D*06,human,
IGHV1-3,IGHV1-3*01,human,
IGHV1-46,IGHV1-46*01,human,
IGHV1-2,IGHV1-2*01,human,
IGHV3-48,IGHV3-48*01,human,
IGHV6-1,IGHV6-1*01,human,
IGHV1-69D,IGHV1-69D*01,human,
IGHV4-34,IGHV4-34*01,human,
IGHV4-30-2,IGHV4-30-2*01,human,
IGHV3-72,IGHV3-72*01,human,
IGHV2-70,IGHV2-70*01,human,
IGHV5-10-1,IGHV5-10-1*01,human,
IGHV3-43,IGHV3-43*01,human,
IGHV4-61,IGHV4-61*01,human,
IGHV3-20,IGHV3-20*01,human,
IGHV1-24,IGHV1-24*01,human,
IGHV1-8,IGHV1-8*01,human,
IGHV1-69-2,IGHV1-69-2*01,human,
IGHV1-69,IGHV1-69*01,human,
IGHV3-13,IGHV3-13*01,human,
IGHV7-4-1,IGHV7-4-1*01,human,
IGHV1-58,IGHV1-58*01,human,
IGHV1/OR15-1,IGHV1/OR15-1*01,human,
IGHV4-28,IGHV4-28*01,human,
IGHV2-26,IGHV2-26*01,human,
IGHV1-45,IGHV1-45*01,human,
IGHV2-70D,IGHV2-70D*04,human,
IGHV3-64,IGHV3-64*01,human,
IGHV3/OR15-7,IGHV3/OR15-7*01,human,
IGHV4/OR15-8,IGHV4/OR15-8*01,human,
IGHV3/OR16-12,IGHV3/OR16-12*01,human,
IGHV3-16,IGHV3-16*01,human,
IGHV3/OR16-8,IGHV3/OR16-8*01,human,
IGHV3/OR16-10,IGHV3/OR16-10*01,human,
IGHV7-81,IGHV7-81*01,human,
IGHV3/OR16-13,IGHV3/OR16-13*01,human,
IGHV2/OR16-5,IGHV2/OR16-5*01,human,
IGHV3OR16-9,IGHV3/OR16-9*01,human,
IGHV3-35,IGHV3-35*01,human,
IGKV3-15,IGKV3-15*01,human,
IGLV2-11,IGLV2-11*01,human,
IGLV7-46,IGLV7-46*01,human,
IGKV1D-39,IGKV1D-39*01,human,
IGLV2-14,IGLV2-14*01,human,
IGLV1-51,IGLV1-51*01,human,
IGKV3-20,IGKV3-20*01,human,
IGKV1-9,IGKV1-9*01,human,
IGLV1-47,IGLV1-47*01,human,
IGKV1-16,IGKV1-16*01,human,
IGKV3-11,IGKV3-11*01,human,
IGLV4-69,IGLV4-69*01,human,
IGLV3-10,IGLV3-10*01,human,
IGLV1-40,IGLV1-40*01,human,
IGLV3-21,IGLV3-21*01,human,
IGKV1-33,IGKV1-33*01,human,
IGKV2-28,IGKV2-28*01,human,
IGKV1-6,IGKV1-6*01,human,
IGKV1-8,IGKV1-8*01,human,
IGLV9-49,IGLV9-49*01,human,
IGKV2D-29,IGKV2D-29*01,human,
IGKV1-5,IGKV1-5*01,human,
IGKV4-1,IGKV4-1*01,human,
IGLV2-8,IGLV2-8*01,human,
IGKV3D-15,IGKV3D-15*01,human,
IGKV1-12,IGKV1-12*01,human,
IGLV8-61,IGLV8-61*01,human,
IGKV2-30,IGKV2-30*01,human,
IGLV2-23,IGLV2-23*01,human,
IGLV3-25,IGLV3-25*01,human,
IGKV1D-16,IGKV1D-16*01,human,
IGLV10-54,IGLV10-54*01,human,
IGLV1-44,IGLV1-44*01,human,
IGLV3-1,IGLV3-1*01,human,
IGKV1-39,IGKV1-39*01,human,
IGLV6-57,IGLV6-57*01,human,
IGLV7-43,IGLV7-43*01,human,
IGKV1D-8,IGKV1D-8*01,human,
IGKV1D-33,IGKV1D-33*01,human,
IGLV4-60,IGLV4-60*01,human,
IGKV1-27,IGKV1-27*01,human,
IGKV1D-17,IGKV1D-17*01,human,
IGLV2-18,IGLV2-18*01,human,
IGKV2-24,IGKV2-24*01,human,
IGKV2D-28,IGKV2D-28*01,human,
IGKV1-17,IGKV1-17*01,human,
IGLV3-19,IGLV3-19*01,human,
IGKV1D-13,IGKV1D-13*01,human,
IGLV3-9,IGLV3-9*01,human,
IGKV3D-11,IGKV3D-11*01,human,
IGKV6-21,IGKV6-21*01,human,
IGLV3-27,IGLV3-27*01,human,
IGLV5-45,IGLV5-45*01,human,
IGLV5-39,IGLV5-39*01,human,
IGKV2D-30,IGKV2D-30*01,human,
IGKV2D-40,IGKV2D-40*01,human,
IGLV5-37,IGLV5-37*01,human,
IGLV1-36,IGLV1-36*01,human,
IGKV3D-20,IGKV3D-20*01,human,
IGKV6D-21,IGKV6D-21*01,human,
IGLV3-12,IGLV3-12*01,human,
IGLV4-3,IGLV4-3*01,human,
IGLV3-16,IGLV3-16*01,human,
IGKV5-2,IGKV5-2*01,human,
IGKV1D-12,IGKV1D-12*01,human,
IGHV3-9,IGHV3-9*01,human,
IGHV3-69,IGHV3-69-1*01,human,
IGHV7-4,IGHV7-4-1*01,human,
IGHV4-30,IGHV4-30-2*01,human,
IGHV4-38,IGHV4-38-2*01,human,
TRAV38-2DV8,TRAV38-2/DV8*01,human,
TRAV29DV5,TRAV29/DV5*01,human,
TRAV23DV6,TRAV23/DV6*01,human,
TRAV14DV4,TRAV14/DV4*01,human,
TRAV36DV7,TRAV36/DV7*01,human,
"IGHV4-30,IGHV4-31",IGHV4-30-2*01,human,
"IGHV4-4,IGHV4-59",IGHV4-4*01,human,
"IGHV3-30,IGHV3-33",IGHV3-30*01,human,
"IGHV4-30,IGHV4-31",IGHV4-30-2*01,human,
IGHV5-10,IGHV5-10-1*01,human,
"IGHV3-11,IGHV3-48",IGHV3-11*01,human,
"IGHV3-21,IGHV3-23",IGHV3-21*01,human,
"IGHV3-21,IGHV3-48",IGHV3-21*01,human,
"IGHV3-53,IGHV3-66",IGHV3-53*01,human,
"IGHV4-59,IGHV4-61",IGHV4-59*01,human,
"IGHV4-4,IGHV4-61",IGHV4-4*01,human,
"IGHV4-30,IGHV4-61",IGHV4-30-2*01,human,
"IGHV4-34,IGHV4-39",IGHV4-34*01,human,
"IGHV4-30,IGHV4-38",IGHV4-30-2*01,human,
IGHV4-55,IGHV4-55*01,human,
"IGHV4-39,IGHV4-61",IGHV4-39*01,human,
"IGHV4-4,IGHV4-55",IGHV4-4*01,human,
"IGHV4-30,IGHV4-4,IGHV4-59,IGHV4-61",IGHV4-30-2*01,human,
"IGHV4-38,IGHV4-61",IGHV4-38-2*01,human,
"IGHV4-30,IGHV4-39",IGHV4-30-2*01,human,
